text,label
"SHOCKING DISCOVERY: Drinking lemon water every morning cures cancer 100%! Big Pharma doesn't want you to know this secret!",1
"BREAKING: Aliens landed in Florida last night, government cover-up exposed!",1
"Miracle weight loss pill melts 50 pounds in a week with no exercise!",1
"You won't believe what this celebrity did at a secret party – exclusive photos!",1
"Conspiracy revealed: COVID vaccines contain microchips to track you!",1
"One simple trick doctors hate will make you look 20 years younger overnight!",1
"Urgent warning: Tap water in your city is poisoned – here's what they're hiding!",1
"Millionaires mentor shares secret to earning $10,000 a day from home!",1
"New study claims eating chocolate prevents heart attacks – Big Pharma furious!",1
"Hidden camera catches politician in scandal – this will shock you!",1
"Revolutionary device charges your phone using only moonlight – order now!",1
"Ancient cure for diabetes banned by FDA – learn the truth!",1
"Exclusive: Time travel device invented, suppressed by elites!",1
"Shocking truth about 5G towers – they're controlling your mind!",1
"Life-changing hack: Rub this on your skin to erase wrinkles instantly!",1
